,Z-1,Z-2,Z-3,Z-4,Z-5,Z-6,Z-7,Z-8,Z-9,Z-10,Z-11,Z-12,Z-13,Z-14,Z-15,Z-16,Z-17,Z-18,Z-19,Z-20,Z-21,Z-22,Z-23,Z-24,Z-25,Z-26,Z-27,Z-28,Z-29,Z-30,Z-31,Z-32,Z-33,Z-34,Z-35,Z-36,Z-37,Z-38,Z-39,Z-40,Z-41,Z-42,Z-43,Z-44,Z-45,Z-46,Z-47,Z-48,Z-49,Z-50,Z-51,Z-52,Z-53,Z-54,Z-55,Z-56,Z-57,Z-58,Z-59,Z-60,Z-61,Z-62,Z-63,Z-64,Z-65,Z-66,Z-67,Z-68,Z-69,Z-70,Z-71,Z-72,Z-73,Z-74,Z-75,Z-76,Z-77,Z-78,Z-79,Z-80,Z-81,Z-82,Z-83,Z-84,Z-85,Z-86,Z-87,Z-88,Z-89,Z-90,Z-91,Z-92,Z-93,Z-94,Z-95,Z-96,Z-97,Z-98,Z-99,Z-100,Z-101,Z-102,Z-103,Z-104,Z-105,Z-106,Z-107,Z-108,Z-109,Z-110,Z-111,Z-112,Z-113,Z-114,Z-115,Z-116,Z-117,Z-118,Z-119,Z-120,Z-121,Z-122,Z-123,Z-124,Z-125,Z-126,Z-127,Z-128,Z-129,Z-130,Z-131,Z-132,Z-133,Z-134,Z-135,Z-136,Z-137
Z-30,118890.32,43399.04,62656.77,109256.59,81212.09,105219.51,84606.01,165403.4,46825.38,50334.99,53335.1,99085.43,39700.12,61741.91,52865.28,117289.67,127848.03,181620.37,73787.13,158456.53,125834.3,161624.7,87110.04,38576.52,23858.2,95051.44,91928.23,210436.5,142642.84,inf,79891.49,inf,156866.37,inf,116745.73,114310.18,66928.29,130042.53,182671.49,93734.55,75213.01,90085.01,129908.31,54575.31,110026.42,151636.01,inf,114212.47,146817.72,inf,66370.78,76064.27,127245.25,133584.17,158637.77,106299.01,68136.99,103117.77,89647.61,126735.33,141489.01,inf,94692.32,172125.99,inf,97333.29,68165.14,147133.86,105084.72,118893.98,143002.92,61233.59,77155.81,142343.35,44815.02,77553.48,96106.59,154878.22,70807.12,13523.91,108357.14,44083.7,139299.36,123680.28,32230.61,111191.48,128362.35,108604.68,102225.02,74082.45,121341.76,108457.56,102871.6,185121.09,162785.28,145331.95,59927.24,80236.32,45340.29,inf,88199.5,94515.89,142978.45,183448.47,99465.82,124686.56,162315.06,61307.48,15723.78,41159.87,52905.22,54640.44,87241.17,58897.05,50381.0,53753.94,inf,100643.51,126629.75,100943.18,155777.18,118100.82,99840.53,53884.09,73285.84,71870.03,135495.7,153942.99,96654.13,inf,187112.41,23146.1,111135.67,66912.87,110772.29,87978.26,88287.04
Z-31,inf,27236.58,99907.73,147282.6,inf,70608.2,97879.6,113093.32,131231.54,8431.9,108061.68,inf,80698.2,151331.19,108631.15,108092.35,128745.22,inf,98010.59,127560.47,130833.49,88490.7,159619.81,133351.38,145016.38,71409.71,161213.83,97242.45,68548.45,45312.81,inf,74827.07,124793.76,96605.27,84490.09,84939.87,inf,92001.02,54780.47,86081.9,68729.09,105622.02,105632.81,38956.27,128524.08,83952.68,122598.48,83817.38,86703.75,54916.2,120565.9,32013.67,154072.22,14911.54,125409.08,99700.21,114635.46,153111.01,105453.39,75365.81,100130.37,42891.97,87822.5,111990.94,inf,107469.89,32242.61,97381.66,112213.58,11642.45,41790.47,128080.78,inf,45543.44,126753.36,80049.76,157580.74,146227.4,185299.52,inf,104247.84,170833.76,60887.7,61531.39,153797.33,42391.14,159229.77,113861.22,115204.34,116081.21,94524.35,95006.66,139049.48,72096.67,71246.02,90463.71,137037.19,inf,95289.42,130381.72,103095.61,128009.05,72698.6,126825.51,99337.38,57611.3,87966.92,30880.87,84229.37,17687.78,70732.1,75775.61,61321.49,150338.02,151383.2,inf,54200.19,136948.36,26894.0,25257.95,142912.01,112986.48,55798.61,88975.63,110656.85,97364.54,inf,78428.99,inf,101413.63,90580.48,113002.56,67893.2,149503.18,108070.01,142933.49,115114.09
Z-32,129382.9,73191.51,65809.99,114949.44,10314.59,157496.51,91749.04,192969.85,88541.73,50403.12,128851.55,inf,142170.49,95511.44,19849.27,158321.46,108122.44,129973.87,109730.18,inf,170915.27,76309.61,121324.18,130147.05,133135.41,114007.1,71502.88,137310.44,110568.06,127672.18,83293.35,inf,80178.22,114115.79,101443.98,151682.97,66614.98,72976.44,118086.94,49488.81,97494.52,81922.79,124759.34,95900.65,70041.01,74643.75,91170.74,121363.38,79376.02,46811.84,153868.02,142965.79,99535.29,96334.73,94011.92,79965.04,107837.7,81875.53,93377.85,142191.62,165172.82,62421.2,53900.23,60488.86,85623.71,83485.14,138256.49,93523.05,114709.25,144133.43,139847.5,122543.63,409.43,87947.29,76122.0,112853.73,79073.32,94276.75,117079.19,150133.65,136624.95,75004.26,60528.76,188069.59,107468.91,121190.51,64534.46,83508.98,76086.43,62571.47,141499.55,34960.31,53580.38,37657.38,69687.18,80116.06,109542.73,41520.71,117460.98,76338.97,82154.06,inf,68501.0,135778.07,144033.6,145530.23,208272.8,103432.99,140984.63,66150.87,83042.02,78133.85,85622.82,178506.1,183687.66,121082.52,87253.51,138339.86,96939.83,158264.13,122902.59,100470.64,108562.43,36688.57,87302.88,70327.08,inf,138508.32,113822.18,114042.76,189168.88,82808.09,98906.15,112868.93,115262.97,122789.08,82626.96
Z-33,179794.66,inf,81778.02,76009.79,71816.14,84895.62,141467.53,65216.4,58981.73,inf,140311.02,43195.08,69379.34,164629.59,168338.79,124965.8,59630.63,83665.91,162392.38,112375.08,94557.6,101269.48,126217.25,51631.14,87939.3,42867.92,147930.87,121067.92,101034.22,102112.79,45579.2,62676.38,inf,inf,42821.65,101461.92,99712.89,93061.97,120524.27,130646.29,90197.25,149820.87,73016.08,115242.66,81193.0,80707.26,104514.18,117385.01,93716.66,90686.36,32216.79,123711.26,4181.02,116501.02,131730.09,115652.28,98214.54,107860.48,106015.36,99730.06,96407.84,128814.4,22321.56,159008.44,113038.8,88722.89,68395.82,171258.52,129518.31,87979.35,116253.81,54393.82,59540.8,104132.97,151438.45,146346.39,125690.75,131818.54,78353.55,143333.19,126820.2,74096.9,54298.35,19798.9,21549.28,85656.37,inf,101241.01,142696.98,89262.0,95140.78,82213.19,126627.68,70765.22,51534.44,122401.88,48302.09,163376.63,22881.19,127242.63,15373.42,55622.34,94267.41,194747.43,91808.33,178256.35,127390.35,101432.65,86523.74,106148.46,73931.87,62828.25,70653.37,83548.52,71509.97,108355.14,198703.85,123266.34,109534.31,135355.02,115822.26,176884.33,92096.81,58882.33,169566.23,82904.3,127628.39,101047.12,74400.5,80617.39,133832.97,172503.79,156792.82,30157.97,159661.83,118152.0,144256.38
Z-34,125689.99,50226.23,119987.56,69400.78,192469.83,90125.68,148443.21,114420.03,191309.33,87962.14,34243.89,120422.04,30179.91,66598.45,45767.51,90817.51,177945.36,62680.38,105931.39,60890.8,120356.38,63788.45,114900.99,inf,103742.32,98855.05,70549.84,49330.72,inf,118931.05,57571.06,109208.56,inf,inf,83889.23,inf,40976.42,96119.71,145471.44,61262.42,63138.96,28209.77,55298.5,115774.66,128338.95,116368.74,129590.36,111113.02,91369.87,53542.62,47483.49,24239.87,169424.72,30234.36,77403.52,97421.32,58316.72,117196.41,123842.06,90600.24,82451.42,77845.46,23497.03,inf,63383.73,93537.23,128620.95,94032.92,136897.93,128892.22,97702.73,103535.61,122043.26,58426.71,175292.79,65148.65,126635.36,37802.0,106072.52,76801.95,92919.93,106598.06,100392.29,136548.06,66920.79,85724.92,59986.1,136405.78,58223.11,95792.39,71581.72,145405.11,75138.31,73744.71,81276.5,75298.39,92636.76,173694.14,142656.03,106040.27,inf,118903.92,173063.93,99523.17,106036.07,96493.89,107984.68,140954.7,59882.85,inf,115452.64,115960.95,78757.3,95097.76,92103.73,86780.07,107683.89,108924.75,96342.04,173890.91,34133.6,133860.99,113539.27,113146.32,118028.16,112501.91,33336.6,106281.75,149298.71,85046.85,79592.11,129118.74,102998.73,102432.0,109404.51,104189.39,137039.48
Z-35,111656.99,47674.82,152575.99,inf,76030.2,74398.74,64617.28,75530.96,80390.45,37138.88,64388.98,75615.87,138380.07,137026.51,64054.59,111009.8,122615.37,148147.86,153131.3,106316.68,132861.21,42523.69,146413.39,99904.49,83406.92,135426.44,108840.24,58320.1,66336.53,124602.19,inf,89119.77,20599.05,139097.91,inf,135098.17,141913.89,108875.44,120176.24,119899.77,95679.12,56688.69,64411.4,inf,138297.44,144321.03,81654.57,53051.05,99851.24,83159.05,113438.42,92166.98,48861.57,143515.5,61205.83,82142.63,131398.65,158894.73,77877.74,134066.83,55879.46,142461.45,81929.11,135278.75,103495.62,94381.11,137287.59,15793.23,56852.23,14478.55,124526.07,72244.66,61620.08,85285.9,93882.42,139440.81,115026.64,65719.55,105045.5,163717.9,150089.42,101764.19,104062.65,132737.23,73493.53,15492.33,18251.25,65381.56,66012.51,68154.36,24324.32,51109.54,75297.85,127326.54,91330.54,59161.93,128150.2,140621.98,97354.46,150072.35,35079.01,115460.65,84758.3,101256.5,56416.46,112992.59,111228.9,139533.26,76695.17,87902.99,113175.07,157331.77,inf,10969.29,8332.51,76196.6,60192.56,70382.84,137973.12,136776.94,108253.7,23586.83,29187.93,57645.41,118369.73,76960.94,inf,91701.26,149537.92,105740.87,131716.46,89924.81,136063.68,74078.34,165229.7,145343.26,97128.67
Z-36,86822.27,86925.09,16113.29,197348.92,24973.77,130396.28,52491.07,154973.24,110878.16,135536.97,144902.55,122768.55,85469.95,74041.82,inf,83060.57,inf,143545.0,93204.14,140378.7,101766.82,64022.57,29661.59,52218.97,115396.4,36736.54,143727.66,60556.98,116432.12,183346.68,inf,135370.96,32295.5,80447.84,66848.57,inf,95106.14,133914.66,148622.84,71931.65,102207.81,121312.01,81755.11,123917.9,62340.85,128962.36,42880.19,8024.36,106014.62,42216.6,188813.55,121447.29,96555.37,84573.21,81322.75,80988.11,27875.04,130651.32,106319.51,184552.97,84700.82,124838.16,114182.86,148201.32,145221.83,105457.73,71352.43,78932.83,122654.99,186620.04,48005.45,84931.22,86260.33,39148.3,109463.73,75493.55,71737.5,93207.8,107760.91,108884.97,97861.83,inf,131886.88,95303.43,58027.07,85183.46,96971.41,98352.92,139997.77,155042.41,89138.39,127535.99,46873.97,102296.54,130652.81,145425.65,98560.07,164780.24,inf,130095.44,85164.76,194967.49,105141.8,192367.66,106770.68,198807.61,66069.7,127985.03,113066.42,42571.11,93678.62,89482.61,136390.36,66921.79,125145.16,99543.87,69954.16,110567.46,134696.81,77282.8,62987.9,90404.3,145055.12,87920.24,104296.11,123183.5,150707.7,111904.4,89875.21,125265.05,106728.28,94277.1,103930.37,40723.6,inf,101368.82,70542.38
Z-37,71350.08,62830.17,164155.95,104101.47,187605.82,95784.91,39968.23,195054.24,116852.25,142837.54,122457.86,156020.37,120449.89,113874.89,135101.07,133627.18,76085.16,129751.34,inf,100582.95,114742.96,59008.81,139368.85,99217.82,132590.69,inf,64573.15,71898.08,59382.45,41677.06,97257.82,86459.59,91967.85,44254.84,126713.74,93545.72,inf,123164.78,109322.61,108882.09,inf,50242.78,49903.25,110962.1,142405.2,80418.05,126493.11,152089.06,124097.61,136575.71,79831.05,191451.3,166788.86,44826.97,inf,73942.21,81365.42,16890.91,116258.57,107889.84,114812.96,inf,145028.15,103284.09,137440.75,111768.49,94308.09,89807.9,106784.51,104309.0,106243.21,166452.29,144931.77,137588.7,81745.47,126780.44,93079.74,114253.78,79346.14,102760.1,42663.44,56397.73,90899.78,108934.08,155032.02,127852.9,97447.02,112597.84,83995.11,45830.63,136923.98,118620.13,83522.03,65352.29,inf,45347.77,113915.41,inf,70894.58,138483.28,61268.82,63645.17,124855.88,99226.25,24361.03,68944.99,53671.64,58940.56,189430.53,96154.11,150319.4,160459.96,46210.47,45131.25,135358.42,74007.07,90090.33,85230.35,60409.17,30660.38,98634.66,53610.92,119310.93,188634.65,72581.59,114692.31,119280.0,98521.56,107089.08,120463.41,203140.53,167807.58,161656.01,2613.52,155548.18,57025.37,129665.47
Z-38,82713.74,143893.82,143808.65,179253.52,150004.74,79484.77,117850.44,30040.19,137597.5,102150.63,28812.23,73370.56,116207.64,79640.85,79636.28,86730.38,171775.03,144444.0,122481.12,4154.05,88931.48,106195.19,66251.65,88274.4,35282.86,132097.47,95157.79,159781.7,145903.16,63397.21,37683.35,60087.8,18123.61,94345.98,43416.36,9542.97,58656.98,inf,120232.45,4481.57,114692.98,84923.87,124286.57,85181.55,112501.92,126166.64,50746.28,74261.69,133798.47,34259.0,144535.53,155647.29,inf,132256.89,171071.73,78899.53,62075.35,125673.99,48798.78,inf,97885.65,78374.17,152447.92,101274.97,120156.17,90843.34,87637.58,99645.82,55609.63,103638.91,46875.78,69807.7,67668.05,162180.03,84950.68,95915.63,95596.55,71763.19,94033.86,145193.65,149432.86,126139.26,108567.22,23675.01,70725.9,136386.24,108233.24,81496.07,63282.29,inf,125522.98,inf,132122.87,93083.41,107807.41,133317.83,50653.72,1401.31,101917.43,49474.84,77424.0,139011.61,63751.74,59078.59,146181.79,179852.16,97580.32,109593.05,134990.25,inf,130719.3,122120.11,140933.03,104900.78,46608.67,78159.59,111220.45,131837.36,9740.78,109810.69,81943.47,4811.08,3367.68,91026.48,91649.35,110541.72,92524.85,187713.69,inf,92756.04,96838.31,46723.05,58502.98,112664.36,126972.01,138363.1,42071.9
Z-39,67547.83,68048.47,113043.08,146255.53,171222.91,90408.67,99680.82,89857.96,120481.19,81052.69,156231.16,119363.81,164043.62,123296.78,61149.47,161672.78,137989.11,125833.93,67585.54,96567.34,61262.88,113720.29,86458.15,56616.4,151153.41,132652.74,93877.52,33300.5,133003.21,75043.59,118531.02,165872.29,43730.67,117519.75,25393.88,64263.28,103424.46,48318.88,inf,138683.25,80652.62,175609.25,78984.86,39243.15,97179.67,150595.22,170291.18,89675.56,117193.85,88884.24,31703.28,174253.43,38239.72,61476.02,46097.95,32074.98,94572.48,97634.85,55082.57,17290.41,43159.44,138538.82,27620.8,73769.34,93771.91,133018.51,inf,77229.49,84398.97,118057.36,155500.68,103136.32,197086.0,133418.24,99723.96,134723.15,75824.49,61603.32,70495.31,123782.67,28870.34,125388.2,38585.82,90680.61,81423.13,inf,20772.83,48171.81,97763.85,134809.56,13294.09,105725.99,33600.42,125046.69,75325.68,131767.51,110117.71,98248.19,84382.79,122015.37,113065.62,108390.17,146762.39,101570.69,84205.1,34908.79,59383.37,122442.32,188838.99,167929.62,156921.04,inf,97843.12,91715.99,124962.61,78277.96,59658.28,48057.82,85635.1,148262.62,86526.09,165057.8,70799.85,157417.46,104847.47,51361.63,88203.43,138986.64,72135.86,105011.69,128917.04,103779.19,114454.79,134785.98,142751.64,inf,inf
Z-40,inf,88278.59,89946.76,210217.75,150758.83,127859.92,91553.93,inf,79636.96,132191.26,71096.36,53072.69,92020.65,121109.04,181035.29,83634.84,90955.38,54248.45,76589.07,75420.53,164130.52,84871.4,130434.71,89186.14,18629.31,71030.57,135655.07,112681.85,51472.66,121212.77,10960.93,144966.38,31410.95,144256.38,122313.82,154788.45,125398.25,113471.61,43454.31,inf,117565.19,206091.45,119109.28,inf,113794.3,31175.8,80693.27,114792.51,96789.41,113004.19,68511.09,166478.2,76656.15,172540.88,200677.16,5722.72,124399.56,102096.9,88114.63,102643.02,114859.52,128060.98,46370.0,inf,180855.28,125693.69,98615.42,106244.94,143708.95,52141.09,141372.01,117317.21,75864.02,161048.21,195362.49,inf,102924.51,164214.15,105905.23,183879.13,63396.38,169707.08,132028.0,149501.86,80194.41,136504.32,155240.6,132305.71,45958.04,88220.52,74949.33,104339.87,116966.56,80967.46,148269.26,139076.39,66137.97,134702.49,inf,71866.84,inf,128237.78,121614.93,31118.58,171544.16,86945.59,79637.73,76152.4,70304.02,78109.96,170019.85,169951.92,132592.48,136902.94,69036.14,19807.75,130220.01,123512.95,18303.92,135266.06,112632.82,101952.2,127723.64,163313.43,99664.25,10496.57,74699.62,65893.89,70652.44,88651.08,69183.33,114844.64,72141.22,93099.18,214996.58,45786.77,185848.03
Z-41,25157.1,103417.52,160913.43,131578.47,99430.6,92574.59,117292.44,130960.89,146336.8,90714.23,128875.23,66154.72,109493.58,106074.18,132681.0,74591.94,115303.6,135526.93,179115.12,155993.91,94573.96,92459.61,172153.87,144811.98,78298.91,44375.29,192009.94,181240.14,83136.19,58173.9,112727.26,51038.05,94589.3,97172.87,145993.12,17496.12,121926.38,137635.8,89125.4,153028.5,inf,93302.02,65281.77,13356.09,109167.88,126225.61,105478.69,120635.19,inf,41779.59,106009.78,67532.4,100385.61,94256.79,88113.01,80400.55,99690.68,142492.53,139399.12,113788.27,78528.05,74704.08,146624.23,159891.02,113428.86,122789.52,98906.97,156836.54,126716.98,65660.03,78889.12,76784.8,65383.53,12419.7,inf,120571.27,162296.06,161184.25,126619.11,inf,89528.0,127603.97,130865.8,102039.06,195496.44,73790.95,153886.98,88639.8,109142.02,86095.93,107303.82,inf,57763.34,63947.0,93744.04,109411.08,93808.68,77758.29,139088.27,118919.38,112613.8,90965.26,186458.68,153442.34,111646.82,135296.08,178238.36,107015.96,166543.43,76281.43,192799.94,143159.8,102743.11,84035.13,32164.2,73549.62,94127.69,181445.75,96077.43,85505.54,74722.21,73930.27,25614.38,51209.3,inf,48407.47,79713.37,18492.3,64719.22,126886.6,159863.94,205150.49,117798.21,inf,16036.92,161703.55,142410.65
Z-42,71854.73,80749.75,61481.45,94353.81,84806.99,29166.68,83377.14,130492.41,111312.63,107198.79,133257.27,144811.07,69103.42,160702.73,126051.73,90960.89,124065.99,85261.01,121720.91,149634.87,96575.32,128386.96,46046.66,122467.8,59769.91,86144.68,100826.71,92760.21,84326.87,142486.82,103498.47,48013.93,94226.36,110030.54,63167.54,78872.49,67427.03,89633.16,174884.22,163920.1,99008.9,inf,72004.6,128978.69,115797.63,138470.91,95319.5,79292.21,91160.13,120827.71,79924.61,62244.06,104912.74,145939.55,47951.76,inf,108423.01,133116.41,111459.71,77271.98,111841.25,71100.84,74432.75,46127.17,146739.89,103887.81,87262.84,95345.45,28417.37,81228.15,61322.87,121662.66,170653.3,63045.6,145933.8,109436.32,27158.97,inf,79893.92,127842.0,41988.7,139111.85,141650.59,169446.46,77018.41,149833.05,139795.33,28381.87,148015.36,68649.04,131467.52,125581.19,80353.85,143315.75,169002.32,59199.53,102059.62,132044.55,105926.23,80445.66,42597.01,67926.27,120002.75,110982.82,25773.19,106735.7,65485.02,141437.3,77897.77,62632.7,153813.06,76963.58,60474.34,122876.78,115358.45,65748.89,112757.12,138816.03,49647.06,62437.59,65164.9,79829.0,61917.27,85750.41,156733.31,108040.8,119874.39,101010.62,137347.99,inf,197631.8,141760.74,148207.47,153553.23,108201.85,67618.81,147087.27
Z-43,132620.29,112097.07,89617.65,111340.54,142174.11,94340.21,51906.53,94826.49,180277.95,inf,114005.24,51905.63,121930.39,74983.59,104911.33,140062.71,91962.03,119713.97,102049.46,24943.6,89466.99,94689.0,105823.09,104050.51,76411.57,105698.55,147623.47,110129.79,145667.64,35172.95,91944.84,126064.13,84158.2,87764.23,60357.96,79565.62,105709.23,60741.76,82772.6,119312.6,112477.02,116919.1,inf,179119.1,119456.47,92226.18,100779.91,31158.56,79011.96,86289.9,21756.83,121969.81,88030.1,118084.27,102477.64,54968.07,68915.92,163435.8,104382.9,inf,95221.57,132344.86,109517.84,81993.92,129147.49,83972.88,135136.75,77232.47,87618.6,104964.41,75870.73,105349.41,86258.79,76178.6,72742.61,144880.58,191339.18,36322.95,111362.55,inf,82059.66,108225.71,57579.77,inf,89584.84,100743.37,89596.97,76105.44,60296.95,142753.73,72419.72,119975.93,69053.29,118695.32,61454.19,inf,60022.45,inf,120358.02,61948.89,66671.32,80082.96,109960.41,61290.83,93453.22,74204.8,98954.6,79916.28,127365.97,135467.89,79064.56,139248.6,137231.54,62110.61,81080.08,inf,134567.84,128580.1,104930.28,51574.0,81215.46,115695.6,23517.47,123618.87,77385.94,70394.52,123763.46,153886.97,142315.81,65809.6,144133.84,131225.38,78974.79,93351.77,63393.76,145399.23,inf
Z-44,124624.7,89164.31,138145.26,inf,110642.86,89501.24,96647.65,84503.64,127869.23,57485.26,168092.7,22888.06,121116.15,73242.44,40295.61,46785.99,89677.96,133235.15,87360.74,67285.57,124786.88,inf,151219.91,55317.57,87145.83,62723.37,106122.54,inf,73496.82,25200.46,64015.08,107174.52,117300.72,63637.33,88820.2,160628.18,73669.12,35531.7,79950.58,161275.7,101290.17,87856.89,86080.04,inf,65912.14,40435.13,70543.12,79832.08,117779.76,41688.89,3239.94,132807.21,103123.6,135443.23,158356.67,147196.11,154723.81,112104.16,139565.47,55687.77,75367.58,138585.9,69720.36,84084.11,103160.4,83286.52,112250.87,53972.8,58405.57,88700.58,107871.58,121593.38,201847.48,110947.62,65961.16,inf,114314.38,158926.74,71433.44,77392.82,60765.66,131267.36,123545.2,75843.34,137201.04,14636.19,103576.93,124800.37,127091.98,131954.74,94144.48,78191.24,108513.86,91288.81,104069.48,108170.48,37898.97,119061.8,90720.4,inf,88114.16,123028.47,171236.55,19786.66,126928.64,125292.76,117250.93,22432.81,94891.88,92328.95,156454.5,110478.13,116967.91,106453.09,96607.46,105423.81,140481.83,31086.7,72656.21,47220.47,inf,inf,102092.65,86881.55,inf,77264.93,22482.12,100098.77,132121.32,54641.56,33208.79,40246.71,80628.34,31528.52,72271.29,111156.94,92592.1
Z-45,20877.34,92776.75,66978.69,123036.61,62419.74,129180.38,62591.19,105897.77,173471.65,141989.32,91853.64,81997.85,124987.06,182130.01,141688.87,86679.13,58998.29,87083.15,50335.84,60897.51,129672.97,25183.5,108755.01,124054.01,45245.88,79801.76,106392.94,167288.43,78290.88,87194.16,164839.11,132854.47,75385.63,105316.25,inf,113826.84,16544.63,111226.84,75818.37,45703.11,inf,114163.92,inf,87017.31,inf,86757.52,119334.04,48286.38,8468.88,150301.45,91328.64,145857.55,92673.35,103715.39,inf,155033.04,152658.05,139740.86,92737.19,131947.61,106811.27,92902.92,89677.55,89642.3,92750.87,137781.8,163032.6,24095.57,88339.74,156465.32,62665.73,132771.66,128550.5,62808.79,92232.33,74688.92,31146.53,107930.5,133516.27,84632.51,136324.75,90865.16,62441.23,93236.01,63540.15,89262.19,158026.87,26655.77,183057.81,94859.06,131110.8,82643.1,48234.08,59414.8,28611.35,inf,51562.82,74366.87,104371.43,73540.62,159969.72,95339.92,23779.96,inf,58627.87,121565.25,132300.34,25799.74,102783.47,95231.2,23360.67,51036.99,61171.37,79319.45,74417.95,80395.15,103300.33,99742.02,127903.99,127659.79,119576.58,112886.75,80443.1,122245.75,inf,119734.84,85426.39,107569.49,124016.36,71697.07,31390.73,120628.92,73519.08,120697.5,113897.94,93143.67,69823.61
Z-46,87584.6,95481.78,165026.46,201899.97,63333.64,162343.91,105599.22,117716.47,80561.08,115542.21,112865.42,12154.13,125718.4,56341.22,52169.14,97380.86,118015.97,inf,80813.98,5819.27,47427.47,79531.97,103223.14,20789.99,151610.7,51703.43,89186.17,100946.2,83567.55,66529.41,120061.06,131114.91999999998,202642.29,71391.83,76973.33,93968.86,116792.23,172031.43,77619.65,33923.91,136495.63,172368.42,166359.82,70257.19,138393.88,inf,inf,53874.81,133077.47,74986.48,70644.97,150166.92,175609.06,96413.98,111001.69,104317.43,inf,120572.95,156131.92,63889.73,97583.85,45222.59,121470.63,7771.19,123282.2,152005.87,68305.98,89985.85,89239.6,113879.7,91752.42,95602.15,163118.08,158594.55,150654.97,95256.21,30883.41,123204.71,100635.95,163183.47,85127.3,66261.35,70624.95,127047.54,86155.02,147403.93,141736.66,103342.9,72807.92,78224.0,146566.57,120467.04,110163.76,151218.04,47325.55,inf,inf,117828.58,28964.9,183880.43,107621.87,95620.39,25059.48,99482.81,91958.09,85349.68,96244.28,105539.47,74479.65,92256.81,91360.58,78076.7,106553.59,101007.95,62590.73,129080.8,117093.88,80626.03,125291.15,93077.66,22504.47,131526.0,50770.61,143434.36,94453.39,51241.79,115230.88,82369.06,92569.3,445.16,84786.59,82055.08,74615.99,95901.69,69621.67,79466.12,91138.67
Z-47,174615.6,63445.57,55915.23,178873.58,113301.67,110559.44,inf,164630.79,52885.17,128272.78,68521.1,60891.8,145733.3,83455.62,107335.27,83785.92,inf,174508.56,80236.72,108333.29,52105.85,113942.06,100504.06,84057.67,147264.44,87572.61,139309.09,86073.54,97791.64,94769.51,56829.92,160590.87,67547.9,102825.88,35151.64,inf,46139.28,96966.38,97674.65,89515.79,49685.37,171071.84,96412.09,41408.69,107807.96,9197.84,inf,108120.36,55463.63,101141.25,54502.27,103335.78,88932.83,135584.01,64909.52,141160.3,120289.71,48440.82,78145.0,65102.92,42761.63,119779.12,122549.45,103896.03,148345.1,72249.78,inf,29954.34,101970.82,90062.16,107517.39,104952.6,180057.16,98989.38,63695.56,111408.08,77487.92,142772.71,91954.25,140562.91,98533.0,121085.47,inf,135339.54,84645.05,114212.86,125895.25,52839.19,49014.25,133970.05,123155.56,177926.39,120864.87,73892.28,95378.71,93733.3,16860.84,93153.49,144423.32,96179.35,75089.2,80675.48,70778.39,98253.99,66948.49,134428.66,86849.33,155075.77,54849.37,68378.0,90404.97,61433.58,71098.74,116624.53,68868.45,78376.58,177122.67,7107.5,30728.01,79318.51,93067.14,117743.37,119753.39,103730.92,111569.75,127584.76,41884.55,59287.21,111273.36,88805.9,85425.73,109992.08,90945.37,78787.69,46498.28,90664.35,95305.52
Z-48,99546.37,120009.13,38509.37,117667.99,145566.02,121005.42,92062.65,110609.84,58257.61,94152.25,106105.36,102084.09,126280.24,30842.48,49646.24,82999.97,124178.42,inf,1246.15,132576.59,68300.53,180074.65,inf,172478.64,95787.36,inf,69228.41,108254.14,151271.38,68713.43,inf,75922.82,133023.16,126395.15,97068.52,50856.83,161075.19,inf,54656.75,114369.79,132850.5,119102.53,106930.36,92655.79,81420.48,211728.48,48473.21,inf,55858.65,105053.75,78735.54,118562.93,100120.17,56655.65,99022.25,118224.81,101966.49,89636.12,89796.9,68273.71,170806.58,145456.11,165875.11,inf,108035.43,106549.73,171468.06,61037.82,88124.63,76704.63,37354.83,143701.31,73953.64,150499.38,inf,110304.93,19176.61,151184.32,72172.88,89368.24,inf,inf,54225.71,55044.81,130125.96,88217.36,128210.56,97507.89,111217.43,106012.09,97783.0,70813.62,124090.46,141203.46,100237.95,80009.87,99477.3,64489.1,131988.16,91686.89,74376.09,95263.04,37787.91,16816.04,168764.94,103651.15,31954.98,64199.94,103935.63,29266.36,67947.18,15023.04,102349.2,112626.44,inf,70466.9,205575.55,161024.14,173567.79,80402.01,99561.43,70233.52,162177.86,155701.6,102377.18,69841.74,65155.75,inf,56155.21,54762.62,139983.81,inf,64520.65,99092.19,105531.42,616.23,inf
